SUMMARY_NR,REPORT_ID,EVENT_DATE,EVENT_TIME,EVENT_DESC,EVENT_KEYWORD,CONST_END_USE,BUILD_STORIES,NONBUILD_HT,PROJECT_COST,PROJECT_TYPE,SIC_LIST,FATALITY,STATE_FLAG,ABSTRACT_TEXT,LOAD_DT
200072106,453720,2003-12-03 14:00:00+00:00,,Two employees sustain burns when LP gas tank explodes,"BURN,HEAT,SHEAR,FLAMMABLE LIQUID,FLAMMABLE VAPORS,GAS,PETROLEUM NAPHTHA,EXPLOSION,TANK",D,1.0,5000.0,B,E,1522,,,,2019-07-22 00:18:29+00:00
200072114,453720,2004-03-14 09:20:00+00:00,,One Employee Killed and One Injured by Falling Duct,"DUCT,MECHANIC,FALL,AERIAL LIFT",,,,,,2015,X,,,2019-07-22 00:18:29+00:00
200072148,453720,2004-04-15 11:30:00+00:00,,Fuel Pump Falls on Worker's Chest Crushes and Kills Him,"CHEST,ASPHYXIATED,SUFFOCATED,UNSECURED,CRUSHED,FUEL OIL,FALLING OBJECT,PUMP,STORAGE AREA",,,,,,5172,X,,,2019-07-22 00:18:29+00:00
200072155,453720,2004-06-22 12:30:00+00:00,,Employee burned in explosion caused by sand blasting machine,"BURN,BLASTING,SAND,MACHINE OPERATOR,EXPLOSION,SPARK",,,,,,3425,,,,2019-07-22 00:18:29+00:00
200072171,453720,2004-03-23 11:30:00+00:00,,Employee found dead on the floor,"CARDIOVASC SYSTEM,LAB WORKER",,,,,,8221,X,,,2019-07-22 00:18:29+00:00
200072288,453720,2004-08-01 19:30:00+00:00,,Employee is killed when crushed by falling load,"EXCAVATION,RIGGING,HOISTING MECHANISM,SUSPENDED LOAD,CONSTRUCTION,CRUSHED,DRILL RIG--NON-OIL,FALLING OBJECT,CRANE",J,1.0,6.0,B,B,1629,X,,,2019-07-22 00:18:29+00:00
200072296,453720,2004-09-13 18:01:00+00:00,,Employee Is Killed in Fall from Deck,"HEAD,CARPENTER,STRUCK AGAINST,CONSTRUCTION,FALL,CONCRETE BLOCK,WORK SURFACE",A,3.0,,B,A,1751,X,,,2019-07-22 00:18:29+00:00
200072304,453720,2004-04-26 13:00:00+00:00,,Employee Is Killed When Struck by Vehicle,"BACK-UP ALARM,FRACTURE,HIGHWAY,ABDOMEN,CONSTRUCTION,STRUCK BY,MOTOR VEHICLE,BACKING UP,INATTENTION",I,,,F,B,1611,X,,,2019-07-22 00:18:29+00:00
200072312,453720,2004-09-30 13:30:00+00:00,,Employee Killed by Heart Attack,"HEART,HEART ATTACK,CARDIAC ARREST",,,,,,5199,X,,,2019-07-22 00:18:29+00:00
200072320,453720,2004-11-16 11:00:00+00:00,,Employee Is Killed When Struck by Precast Concrete Manhole,"CHEST,BOOM,CONSTRUCTION,PRECAST,ABRASION,STRUCK BY,FALLING OBJECT,MANHOLE,CONCRETE,CONTUSION",N,,11.0,D,A,1623,X,,,2019-07-22 00:18:29+00:00
200072338,453720,2004-10-11 15:50:00+00:00,,Employee injured when struck by falling section of manhole,"FRACTURE,MANHOLE COVER,UNSECURED,WORK RULES,CONSTRUCTION,MECH MAT HANDLING,STRUCK BY,FALLING OBJECT",N,,,E,A,1623,,,,2019-07-22 00:18:29+00:00
200072346,453720,2004-10-27 07:00:00+00:00,,Employee burned in explosion,"BURN,LEAK,WORK RULES,CONSTRUCTION,EXPLOSION,GASOLINE,ELECTRIC GENERATOR",,,,,,1731,,,,2019-07-22 00:18:29+00:00
200072353,453720,2004-10-07 02:15:00+00:00,,"Supervisor receives finger injuries, mechanical power press","MAGNET,POWER PRESS,FINGER,GUARD,WORK RULES,RESTRAINING DEVICE,PRESS,WRIST",,,,,,3429,,,,2019-07-22 00:18:29+00:00
200072361,453720,2004-12-23 13:15:00+00:00,,Employee Dies of a Heart Attack,"HEART,UNCONSCIOUSNESS,HEART ATTACK",,,,,,2261,,,,2019-07-22 00:18:29+00:00
200072387,453720,2005-03-15 06:30:00+00:00,,Employee Is Injured When Struck by Vehicle,"HEAD,HIGHWAY,CONSTRUCTION,STRUCK BY,CONCUSSION,MOTOR VEHICLE",,,,,,9621,,,,2019-07-22 00:18:29+00:00
200072395,453720,2005-04-12 15:15:00+00:00,,Highway Employee Is Struck by a Vehicle and Killed,"HEAD,HIGHWAY,TRAFFIC ACCIDENT,VEHICLE,STRUCK BY,CONCUSSION,HAND TOOL,INATTENTION",,,,,,782,X,,,2019-07-22 00:18:29+00:00
200072403,453720,2005-06-02 14:00:00+00:00,,Employee Dies after Sustaining Electric Shock,"UNCONSCIOUSNESS,INSTALLING,LOCKOUT,CIRCUIT BREAKER,ELECTRIC SHOCK,ELECTRICAL CABINET,HAND TOOL",,,,,,8731,X,,,2019-07-22 00:18:29+00:00
200072411,453720,2005-06-08 17:00:00+00:00,,Employee Is Crushed and Killed by Unguarded Machine,"HEAD,WORK RULES,CAUGHT BY,CRUSHED,POINT OF OPERATION,PRESS,UNGUARDED",,,,,,2297,X,,,2019-07-22 00:18:29+00:00
200072445,453720,2005-06-30 16:45:00+00:00,,Employee Is Injured in Fall from Roof,"HEAD,ROOF,BUILDING,CARPENTER,CONSTRUCTION,FALL,FALL PROTECTION,CONCUSSION,WORK SURFACE",B,2.0,,C,A,1751,,,,2019-07-22 00:18:29+00:00
200072452,453720,2005-06-27 17:34:00+00:00,,Child Killed by Industrial Truck,"CRUSHED,INDUSTRIAL TRUCK",C,1.0,,B,B,1521,X,,,2019-07-22 00:18:29+00:00
200072478,453720,2005-07-18 12:30:00+00:00,,Employee Is Struck and Killed by Vehicle,"VEHICLE,CRUSHED,STRUCK BY,CONCUSSION,BACKING UP",A,2.0,20.0,B,A,1531,X,,,2019-07-22 00:18:29+00:00
200072486,453720,2005-07-15 09:30:00+00:00,,Employee Suffers Heart Failure and Dies,"DELIVERY WORK,HEART,HEART ATTACK",,,,,,4212,X,,,2019-07-22 00:18:29+00:00
200072494,453720,2005-07-05 13:05:00+00:00,,Employee Collapses from Heart Attack,"HEART ATTACK,CARDIAC ARREST",,,,,,4724,,,,2019-07-22 00:18:29+00:00
200072510,453720,2005-03-15 19:00:00+00:00,,Employee Amputates Hand While Operating Textile Machine,"AMPUTATED,REPAIR,MACHINE OPERATOR,JAMMED,ROLLER--MACH/PART,CAUGHT BETWEEN,CONVEYOR,HAND,MECH MALFUNCTION",,,,,,2297,,,,2019-07-22 00:18:29+00:00
200072536,453720,2005-05-16 10:00:00+00:00,,Employee Is Injured When Struck by Bus Chassis,"BUS,VEHICLE IN GEAR,BRAKE,VEHICLE,EQUIPMENT FAILURE,STRUCK BY,BACKING UP",,,,,,3713,,,,2019-07-22 00:18:29+00:00
200072635,453720,2005-09-16 16:30:00+00:00,,Employee collapse after cardiac arrest,"CARDIOVASC SYSTEM,HEART ATTACK,CARDIAC ARREST",,,,,,5211,X,,,2019-07-22 00:18:29+00:00
200072643,453720,2005-09-25 00:30:00+00:00,,Employees Injured in Acid Explosion,"BURN,INHALATION,EXPLOSION,RESPIRATORY TRACT,CHEMICAL BURN,CHEMICAL VAPOR,FACE,CHEMICAL",,,,,,3714,,,,2019-07-22 00:18:29+00:00
200072650,453720,2005-09-08 18:00:00+00:00,,Employee Dies of Heart Attack,"HEART,HEART ATTACK",,,,,,8211,,,,2019-07-22 00:18:29+00:00
200072668,453720,2005-10-04 13:15:00+00:00,,Employee Is Killed in Fall from Roof,"ROOF,CONSTRUCTION,EQUIPMENT FAILURE,BRICK,FALL,FALL PROTECTION,SCAFFOLD",A,3.0,30.0,B,A,1521,X,,,2019-07-22 00:18:29+00:00
200072684,453720,2005-06-21 23:30:00+00:00,,Employee's Arms Are Fractured When Caught in Rewind Machine,"FRACTURE,ROTATING PARTS,ROLLER--MACH/PART,CAUGHT BETWEEN,ARM,NIP POINT",,,,,,3069,,,,2019-07-22 00:18:29+00:00
200072692,453720,2005-11-04 07:45:00+00:00,,Employee Dies from Heart Disease,"CARDIOVASC SYSTEM,UNCONSCIOUSNESS,CARDIOVASC DISEASE,FALL,CONCRETE",,,,,,3271,X,,,2019-07-22 00:18:29+00:00
200072700,453720,2005-11-10 11:45:00+00:00,,Employee Is Killed in Fall from Aerial Lift,"FRACTURE,EQUIPMENT OPERATOR,TREE,UNSTABLE SURFACE,FALL,FALL PROTECTION,TREE TRIMMING,AERIAL LIFT",,,,,,783,X,,,2019-07-22 00:18:29+00:00
200072718,453720,2005-11-11 08:45:00+00:00,,Employee Is Killed in Fall from Elevated Work Platform,"ELECTRIC MOTOR,ELEC INSULATION,HEAD,METAL WIRE,FALL,CONCUSSION,ELEVATED WORK PLAT,WORK PLATFORM",,,,,,3621,X,,,2019-07-22 00:18:29+00:00
200072726,453720,2005-09-20 15:00:00+00:00,,Employee Dies from Suspected Heart Attack,"UNCONSCIOUSNESS,HEART ATTACK,CARDIAC ARREST",,,,,,2389,X,,,2019-07-22 00:18:29+00:00
200072734,453720,2006-01-16 11:00:00+00:00,,Employee Is Killed in Fall from Elevated Location,"CARPENTER,CONSTRUCTION,FALL,FALL PROTECTION,WORK SURFACE",A,2.0,,C,A,1521,X,,,2019-07-22 00:18:29+00:00
200072759,453720,2006-02-07 17:25:00+00:00,,Employee Falls from Scaffolding and Injures Head,"HEAD,CONSTRUCTION,FALL,WORK SURFACE,SCAFFOLD",A,2.0,,C,A,1742,X,,,2019-07-22 00:18:29+00:00
200072767,453720,2006-02-09 14:15:00+00:00,,Employee Is Killed in Fall from Ladder,"CHEST,HEAD,BUILDING,LADDER,FALL PROTECTION,TOWER,WORK SURFACE",K,,150.0,A,C,1799,X,,,2019-07-22 00:18:29+00:00
200072775,453720,2006-01-31 10:00:00+00:00,,Employees Are Injured When House Collapses in High Wind,"FRACTURE,HIGH WIND,SHOULDER,COLLAPSE,CONSTRUCTION,FALL,HAND,CONTUSION",A,2.0,23.0,B,A,1751,,,,2019-07-22 00:18:29+00:00
200072783,453720,2006-03-09 15:30:00+00:00,,Employee Dies of Heart Attack,"CARDIOVASC SYSTEM,HEART,HEART ATTACK,CARDIAC ARREST",,,,,,4841,X,,,2019-07-22 00:18:29+00:00
200072791,453720,2006-03-14 08:15:00+00:00,,Employee Is Found Dead of Suspected Cardiovascular Failure,"CARDIOVASC SYSTEM,JANITOR,RESPIRATORY,HEART ATTACK,HOUSEKEEPING",,,,,,7349,X,,,2019-07-22 00:18:29+00:00
200072809,453720,2006-02-15 13:47:00+00:00,,Employee Is Burned Fighting Fire after Air Tank Explosion,"BURN,AIR RECEIVER,FIRE,EXPLOSION,SAWMILL,HAND",,,,,,2421,,,,2019-07-22 00:18:29+00:00
200072817,453720,2005-11-02 14:00:00+00:00,,Three Employees Are Injured When Scaffold Collapses,"FRACTURE,INSTALLING,COLLAPSE,CARPENTER,CONSTRUCTION,UNSTABLE SURFACE,FALL,CONTUSION,SCAFFOLD",A,2.0,18.0,B,A,1751,,,,2019-07-22 00:18:29+00:00
200072825,453720,2006-03-27 14:10:00+00:00,,Employee Dies of Heart Attack,"CARDIOVASC SYSTEM,HEART,RESPIRATORY,CPR,HEART ATTACK,CARDIAC ARREST",,,,,,8211,X,,,2019-07-22 00:18:29+00:00
200072833,453720,2006-03-27 14:15:00+00:00,,Employee Dies of Heart Attack,"CARDIOVASC SYSTEM,DELIVERY WORK,HEART,RESPIRATORY,UNCONSCIOUSNESS,VEHICLE,CPR,HEART ATTACK,DRIVER,CARDIAC ARREST",,,,,,5063,X,,,2019-07-22 00:18:29+00:00
200072841,453720,2006-03-18 06:00:00+00:00,,Employee Amputates Finger in Mechanical Power Press Machine,"MAINTENANCE,AMPUTATED,POWER PRESS,FINGER,MACHINE OPERATOR,CAUGHT BETWEEN,CRUSHED,PUNCH PRESS",D,1.0,10.0,A,C,3444,,,,2019-07-22 00:18:29+00:00
200072866,453720,2006-04-07 13:00:00+00:00,,Employee Falls from Ladder and Dies,"FRACTURE,LADDER,STRUCK AGAINST,PELVIS,RIB,FALL,WRIST",,,,,,4841,X,,,2019-07-22 00:18:29+00:00
200072874,453720,2006-02-15 10:15:00+00:00,,Two employees injured when struck by falling trusses,"TRUSS,UNSECURED,WORK RULES,CONSTRUCTION,STRUCK BY,FALLING OBJECT",P,1.0,16.0,B,A,1751,,,,2019-07-22 00:18:29+00:00
