SUMMARY_NR,LINE_NR,ABSTRACT_TEXT,LOAD_DT
202539771,8,"tried to put back the machine guard, and that was when his hand was pulled in by",2019-07-22 00:19:32+00:00
202539771,9, the machine bit. Employee #1 was treated for his injuries but was not hospitali,2019-07-22 00:19:32+00:00
202539771,10,zed.,2019-07-22 00:19:32+00:00
201096245,1,"About 10:45 a.m. on December 9, 2002, Employee #1 of JAG Construction in Grover ",2019-07-22 00:19:32+00:00
201096245,2,"Beach, California, was to install a skylight in the second-story roof. He set a ",2019-07-22 00:19:32+00:00
201096245,3,ladder on the first-floor roof to access the second-story roof. Employee #1 clim,2019-07-22 00:19:32+00:00
201096245,4,"bed the ladder and as he reached the top, the ladder slipped. He fell to the gro",2019-07-22 00:19:32+00:00
201096245,5,und and sustained torn tendons in the right knee and wrist and a puncture injury,2019-07-22 00:19:32+00:00
201096245,6, to his right side. Employee #1 was hospitalized for observation at Sierra Vista,2019-07-22 00:19:32+00:00
201096245,7," Medical Center in San Luis Obispo, California. Employee #1 did not secure the l",2019-07-22 00:19:32+00:00
201096245,8,adder.,2019-07-22 00:19:32+00:00
201282845,1,"At approximately 2:45 p.m. on October 31, 2007, Employee #1 and a coworker were ",2019-07-22 00:19:32+00:00
201282845,2,completing a concrete job on a traffic island. A car ran through the work zone b,2019-07-22 00:19:32+00:00
201282845,3,arricades and struck both workers. Employee #1 was killed and his coworker suffe,2019-07-22 00:19:32+00:00
201282845,4,"red a fractured leg. According to the Georgia DOT, the work zone was properly ma",2019-07-22 00:19:32+00:00
201282845,5,"rked, with signs at 1500 ft, 1000 ft, and 500 ft. Barricades were also placed at",2019-07-22 00:19:32+00:00
201282845,6, the roadside about 40 in. from the work area. The barrels were 14 ft apart at t,2019-07-22 00:19:32+00:00
201282845,7,"he island. The driver knocked down three barricades before striking the workers,",2019-07-22 00:19:32+00:00
201282845,8, and then continued to knock down two additional barricades.,2019-07-22 00:19:32+00:00
200901130,1,"At approximately 8:07 a.m. on September 18, 2002, Employee #1 and a coworker wer",2019-07-22 00:19:32+00:00
200901130,2,e replacing ornamental trees with a Terex truck crane. The trees were lifted dir,2019-07-22 00:19:32+00:00
200901130,3,"ectly over nearby power lines. During the lift, the wire mesh covering the roots",2019-07-22 00:19:32+00:00
201498086,6,tal where he was admitted for treatment of an unidentified fracture. The Cal/OSH,2019-07-22 00:19:32+00:00
201498086,7,A Fresno District Office was notified by the California Highway Patrol on May 23,2019-07-22 00:19:32+00:00
201498086,8,", 2013 at approximately 6:17 p.m.",2019-07-22 00:19:32+00:00
201486545,1,"On April 7, 2004, Employee #1 had been assigned to a three-person paint crew to ",2019-07-22 00:19:32+00:00
201486545,2,perform maintenance on a bridge using a motorized traveler. After exiting the mo,2019-07-22 00:19:32+00:00
201486545,3,"torized traveler, Employee #1 stepped across several metal beams and grabbed a t",2019-07-22 00:19:32+00:00
201486545,4,hree-inch water pipe with his left hand. Employee #1's hand slipped off of the w,2019-07-22 00:19:32+00:00
201486545,5,"ater pipe, causing his entire body to roll backwards. He eventually fell over th",2019-07-22 00:19:32+00:00
201486545,6,"e side of the concrete pylon, landing at its base. This fatal accident involved ",2019-07-22 00:19:32+00:00
201486545,7,Employee #1 falling approximately 130 feet to the ground from the bridge pylon. ,2019-07-22 00:19:32+00:00
201486545,8,"Employee #1 was pronounced dead at the scene by emergency medical personnel, and",2019-07-22 00:19:32+00:00
201486545,9, the body was transported to the Coroner's Office for an autopsy.,2019-07-22 00:19:32+00:00
202585543,1,"Employee #1 was operating a machine, when his fingers became caught between the ",2019-07-22 00:19:32+00:00
202585543,2,powered roller guard and the motor housing. His fingers tips were crushed and he,2019-07-22 00:19:32+00:00
202585543,3," was hospitalized, where his finger tips were surgically amputated.",2019-07-22 00:19:32+00:00
200262376,1,"On July 8, 2004, an employee was found crushed between the lift arm of a Thomas ",2019-07-22 00:19:32+00:00
200262376,2,"Bobcat front end loader, and the frame of the vehicle. The employee was pronounc",2019-07-22 00:19:32+00:00
200262376,3,ed dead at the scene. There were no eye-witnesses.,2019-07-22 00:19:32+00:00
201202652,1,"At approximately 12:00 p.m. on August 4, 2004, Employee #1 reached into the inde",2019-07-22 00:19:32+00:00
201202652,2,xing box on the Sleeve machine. The hydraulic press activated while Employee #1',2019-07-22 00:19:32+00:00
201202652,3,s right hand was still in the machine. When the indexing box cycled back into th,2019-07-22 00:19:32+00:00
201202652,4,"e starting position Employee #1 pulled his hand out, which was attached only by ",2019-07-22 00:19:32+00:00
201202652,5,the skin at the wrist. Employee #1's middle and index fingers were missing. Empl,2019-07-22 00:19:32+00:00
201202652,6,oyee #1 was given first-aid and transported to the hospital. Employee #1 was hos,2019-07-22 00:19:32+00:00
201202652,7,"pitalized, and one finger and his hand were re-attached.",2019-07-22 00:19:32+00:00
200461739,1,Employee #1 fell 23 feet from a ladder jack scaffold and was killed.,2019-07-22 00:19:32+00:00
201504958,1,"At approximately 12:10 p.m. on July 27, 2004, Employee #1 was grinding a steel b",2019-07-22 00:19:32+00:00
201504958,2,ar (2-in. by 19-in. by 0.1875-in.) in a foundry shop. When the bar was pulled in,2019-07-22 00:19:32+00:00
200642510,3,"sed, the excavator fell into a basement void, and Employee #1 was killed.",2019-07-22 00:19:31+00:00
201633963,1,"At approximately 8:30 p.m. on September 15, 2003, Employee #1 was moving a load ",2019-07-22 00:19:31+00:00
201633963,2,of scrap brick with an industrial truck mounted with a dumpster. When Employee #,2019-07-22 00:19:31+00:00
