SUMMARY_NR,LINE_NR,ABSTRACT_TEXT,LOAD_DT
113330724,2,air work. Petroleum fumes ignited and an explosion occurred. Employee #1 was str,2019-07-22 00:19:29+00:00
113330724,3,"uck in the head by a piece of the bulkhead, and was killed.",2019-07-22 00:19:29+00:00
655522,1,Employee #1 fell from a roof edge while brooming roofing paper. He was killed.,2019-07-22 00:19:29+00:00
170390249,1,"At approximately 7:08 a.m. on March 27, 1996, a 20,000-liter descaling accumulat",2019-07-22 00:19:29+00:00
170390249,2,or tank violently ruptured and exploded. Employees #1 through #3 were killed. Em,2019-07-22 00:19:29+00:00
170390249,3,"ployees #4 through #13 were injured, and Employees #4 and #5 sustained injuries ",2019-07-22 00:19:29+00:00
170390249,4,that required hospitalization. At least two additional coworkers also sustained ,2019-07-22 00:19:29+00:00
170390249,5,"injuries in the explosion. The 20,000-liter tank was kept at a pressure of betwe",2019-07-22 00:19:29+00:00
170390249,6,"en 1,900 and 2,250 psi.",2019-07-22 00:19:29+00:00
200880029,1,Employee #1 was performing a job estimate at a single-family residential constru,2019-07-22 00:19:29+00:00
200880029,2,ction building. While he was going from the first to second floor when the stair,2019-07-22 00:19:29+00:00
200880029,3,way collapsed and he fell through to the basement. Employee #1 sustained injurie,2019-07-22 00:19:29+00:00
200880029,4,s that required hospitalization.,2019-07-22 00:19:29+00:00
200270098,1,"Employee #1, a truck driver, was helping a coworker of Saxton Design Group, Inc.",2019-07-22 00:19:29+00:00
200270098,2,", to unload a semi-trailer. The coworker was using a pallet jack to raise and wh",2019-07-22 00:19:29+00:00
565671,9,HIMSELF (WITH ONE HAND ON THE BUCKET AND ONE HAND ON THE SIGN). HE WAS ELECTROCU,2019-07-22 00:19:29+00:00
565671,10,TED BY AN APPARENT GROUND FAULT IN THE SIGN.,2019-07-22 00:19:29+00:00
170830533,1,An automobile body repairer was using a pneumatic abrasive cutting tool to cut t,2019-07-22 00:19:29+00:00
170830533,2,"he lid from a 55-gallon container. The drum was labeled ""lacquer thinner"", and f",2019-07-22 00:19:29+00:00
170830533,3,lammable liquid warnings had been placed on the drum by the manufacturer. The dr,2019-07-22 00:19:29+00:00
170830533,4,um exploded after a cut of about 1 inch had been made in the 23-inch-diameter co,2019-07-22 00:19:29+00:00
170830533,5,ntainer. The employee was apparently struck in the head by the lid. (Investigati,2019-07-22 00:19:29+00:00
170830533,6,"on after the accident revealed that the container end, dented and smeared with b",2019-07-22 00:19:29+00:00
170830533,7,"lood stains, had separated from the drum. Polycarbonate glasses were found with ",2019-07-22 00:19:29+00:00
170830533,8,"the injured employee.) The injured employee was hospitalized for several days, b",2019-07-22 00:19:29+00:00
170830533,9,ut died of the massive head injuries he had received as a result of the explosio,2019-07-22 00:19:29+00:00
170830533,10,n.,2019-07-22 00:19:29+00:00
202562955,1,"On September 27, 2008, Employee #1 was ascending an extension ladder carrying a ",2019-07-22 00:19:29+00:00
202562955,2,"36 in., 30 pound roll of felt paper. He stepped from the ladder onto the roof an",2019-07-22 00:19:29+00:00
202562955,3,d slipped. He and the unsecured ladder fall approximately 17 ft to the ground. E,2019-07-22 00:19:29+00:00
202562955,4,mployee #1 was hospitalized with a strained back.,2019-07-22 00:19:29+00:00
14338438,1,A 120-ft mast with an 80-ft boom guy derrick (American Model No. 140-38) had bee,2019-07-22 00:19:29+00:00
14338438,2,"n recently erected. Slack in the south guy was noticed, and Employees #1 and #2 ",2019-07-22 00:19:29+00:00
14338438,3,"were instructed to tighten it. Before they finished, the lift of a 42-cubic-yard",2019-07-22 00:19:29+00:00
14338438,4," drag bucket began. It was tag lined by Employees #1 and #2 and lifted, and the ",2019-07-22 00:19:29+00:00
14338438,5,"truck pulled away. The bucket was placed on the ground, and the derrick boomed u",2019-07-22 00:19:29+00:00
14338438,6,p to move the bucket closer. The bucket was 4 to 5 ft off the ground and had beg,2019-07-22 00:19:29+00:00
14338438,7,"un to slip when the guys started singing, and the operator released the load. Th",2019-07-22 00:19:29+00:00
