SUMMARY_NR,LINE_NR,ABSTRACT_TEXT,LOAD_DT
200770147,6,ction was in use.,2019-07-22 00:19:30+00:00
170238489,1,"At approximately 4:25 a.m., Employee #1 was driving a company van on I-5 southbo",2019-07-22 00:19:30+00:00
170238489,2,und from Arlington to Boeing Field. At mile post 170 the vehicle struck the jers,2019-07-22 00:19:30+00:00
170238489,3,"ey barrier next to the fast lane, spun around facing north, proceeded across fou",2019-07-22 00:19:30+00:00
170238489,4,"r lanes of traffic, and hit a guardrail. Employee #1, who was not wearing a seat",2019-07-22 00:19:30+00:00
170238489,5," belt, was ejected through the window and struck a sign, landing with his head o",2019-07-22 00:19:30+00:00
170238489,6,n the guardrail. He died of massive head and internal injuries.,2019-07-22 00:19:30+00:00
201176039,1,"On September 23, 2004, Employee #1, an operations specialist, was unloading a da",2019-07-22 00:19:30+00:00
201176039,2,"ta delivery truck. He placed two, 500-pound metal data carts on the powered lift",2019-07-22 00:19:30+00:00
201176039,3, gate and lowered the lift gate to the ground. The weight of the carts and Emplo,2019-07-22 00:19:30+00:00
201176039,4,yee #1 made it seem like the gate was powered all the way to the ground; however,2019-07-22 00:19:30+00:00
201176039,5,", it was not fully lowered. As Employee #1 rolled the first cart off the lift ga",2019-07-22 00:19:30+00:00
201176039,6,"te, the lift gate rose up a few inches, causing the second cart to roll off the ",2019-07-22 00:19:30+00:00
201176039,7,lift gate. The second cart then fell over and struck Employee #1. He was hospita,2019-07-22 00:19:30+00:00
201176039,8,lized at Mercy San Juan Hospital for a fractured right leg.,2019-07-22 00:19:30+00:00
201486115,1,"On November 18, 2003, Employee #1 was operating a stand up lawnmower on a slope ",2019-07-22 00:19:30+00:00
201486115,2,when it started to slip. He drove it down the slope and struck a parked car. He ,2019-07-22 00:19:30+00:00
201486115,3,cut his big toe on his right foot and was hospitalized.,2019-07-22 00:19:30+00:00
201520293,1,"At approximately 8:30 a.m. on February 5, 1998, a subcontracted employee was hir",2019-07-22 00:19:30+00:00
201520293,2,ed to install low voltage wiring and smoke detectors in the ceiling of the main ,2019-07-22 00:19:30+00:00
201520293,3,seating area of a new church under construction. He used a metal staircase to ac,2019-07-22 00:19:30+00:00
201520293,4,"cess the second level, then used a portable ladder to access the third level, an",2019-07-22 00:19:30+00:00
201520293,5,d finally used another portable ladder to access the window wash level. The 25-f,2019-07-22 00:19:30+00:00
201520293,6,t by 6-ft window wash work area was only partially decked and also had two adjac,2019-07-22 00:19:30+00:00
201520293,7,ent open un-paned windows. The adjacent window openings were 2-ft-4-ft and 3-ft ,2019-07-22 00:19:30+00:00
201520293,8,by 4ft. Snow and ice had entered through the open windows and coated the window ,2019-07-22 00:19:30+00:00
201520293,9,wash work area. The 8-in. 12-pitch roof outside the window was also coated with ,2019-07-22 00:19:30+00:00
