SUMMARY_NR,LINE_NR,ABSTRACT_TEXT,LOAD_DT
693747,11, and ligament damage to the knee. Both employees were hospitalized.,2019-07-22 00:19:26+00:00
14257455,1,EMPLOYEE #1 WAS WORKING AS A LOGGER IN A FIELD TIMBER CUTTING SITE. THERE WAS A ,2019-07-22 00:19:26+00:00
14257455,2,TREE GROWING APPROXIMATELY 12' TO THE REAR OF THE TREE BEING FELLED. THIS TREE H,2019-07-22 00:19:26+00:00
14257455,3,AD A DEAD SPOT ON IT AT A LEVEL OF APROXIMATELY 25' FROM THE GROUND. THE CANOPY ,2019-07-22 00:19:26+00:00
14257455,4,OF THE FELLED TREE BRUSHED THE OTHER TREE ON THE WAY DOWN. THE BOLE SNAPPED AT T,2019-07-22 00:19:26+00:00
14257455,5,"HE POINT OF THE DEAD SPOT, SENDING A SECTION OF TREE, APPROXIMATELY 6""IN DIAMETE",2019-07-22 00:19:26+00:00
14257455,6,"R, 25' LONG AND WEIGHING AN ESTIMATED 275 POUNDS, DOWN TOWARD THE GROUND. THE EM",2019-07-22 00:19:26+00:00
14257455,7,PLOYEE BACKED INTO THE PATH OF THE FALLING TREE SECTION. THE SECTION STRUCK HIM ,2019-07-22 00:19:26+00:00
14257455,8,"ON THE HEAD, FATALLY INJURING HIM.",2019-07-22 00:19:26+00:00
201700408,1,"At 10:45 p.m. on May 11, 1998, Employee #1 suffered the amputation of the tip of",2019-07-22 00:19:26+00:00
201700408,2, the long finger and a laceration to the third finger on her right hand when her,2019-07-22 00:19:26+00:00
201700408,3, fingers inadvertently entered a hole in the screw conveyor housing and contacte,2019-07-22 00:19:26+00:00
201700408,4,d the flighting. Employee #1 was attempting to tighten a rag which had previousl,2019-07-22 00:19:26+00:00
201700408,5,y been placed around the conveyor housing in an effort to slow the flow of the s,2019-07-22 00:19:26+00:00
201700408,6,lurry which was leaking onto the floor. The hole in the conveyor was caused by a,2019-07-22 00:19:26+00:00
