SUMMARY_NR,LINE_NR,ABSTRACT_TEXT,LOAD_DT
201035110,1,"On July 19, 2003, Employee #1, a truck driver for an asphalt paving company, was",2019-07-22 00:19:32+00:00
201035110,2," conducting paving operations. The truck he was using, VIN Number: IFDYU 90XOCVA",2019-07-22 00:19:32+00:00
201035110,3,"03816, had a11-ton capacity for aggregate, approximate 10-foot by 8-foot by 4-fo",2019-07-22 00:19:32+00:00
201035110,4,"ot hopper, and speed ranging from 1.5 to 3 miles-per-hour. Employee #1 was locat",2019-07-22 00:19:32+00:00
201035110,5,"ed at the top of the truck, about 10-feet high, checking the oil and water level",2019-07-22 00:19:32+00:00
201035110,6,"s for the aggregate mixture and shoveling sand into the hopper. For some reason,",2019-07-22 00:19:32+00:00
201035110,7, he fell from the truck to the pavement. Employee #1 was hospitalized at UCI Med,2019-07-22 00:19:32+00:00
201035110,8,"ical Center and treated for a fractured skull, broken left shoulder bone, and fr",2019-07-22 00:19:32+00:00
201035110,9,actured right wrist. He was released five days later.,2019-07-22 00:19:32+00:00
201612843,1,"On December 28, 2004, Employee #1 was working on a residential-type roof and fel",2019-07-22 00:19:32+00:00
201612843,2,l approximately 20 feet to a lower level. Witnesses at the time speculated that ,2019-07-22 00:19:32+00:00
201612843,3,Employee #1 had medical related history that may have initiated the eventual fal,2019-07-22 00:19:32+00:00
201612843,4,l. Employee #1 suffered a dislocation and was hospitalized.,2019-07-22 00:19:32+00:00
202076196,1,"On November 18, 2004, Employees #1 and #2 were pouring a concrete porch on a sin",2019-07-22 00:19:32+00:00
202076196,2,"gle family residence when the porch collapsed, injuring Employees #1 and #2. Emp",2019-07-22 00:19:32+00:00
202076196,3,loyee #1 was hospitalized.,2019-07-22 00:19:32+00:00
202076212,1,Employee #1 was hospitalized due to contusions and abrasions sustained in a tren,2019-07-22 00:19:32+00:00
202076212,2,ch cave-in.,2019-07-22 00:19:32+00:00
202462982,1,"On December 5, 2005, Employee #1 was assisting the driver of a tractor trailer, ",2019-07-22 00:19:32+00:00
202462982,2,"making a delivery to Bonita Packing, a warehouse and distribution company. Emplo",2019-07-22 00:19:32+00:00
202462982,3,"yee # 1 was behind the trailer, out of the driver's sight. The driver was notifi",2019-07-22 00:19:32+00:00
